id	proactive	emot_intel	sjt	work_samp	str_int	consc	cog_flex	work_exp	degree	job_perf	citizenship	promotion	high_potential
1351	51	48	47	46	43	52	43	0-1	none	48	41	No	Yes
1352	51	37	43	47	49	53	49	6-10	bachelor	34	33	No	No
1353	49	45	41	48	46	50	46	2-5	none	40	40	No	No
1354	46	45	48	46	42	49	47	2-5	bachelor	39	46	No	No
1355	50	47	48	41	49	51	44	11+	bachelor	55	46	No	Yes
1356	56	52	52	44	53	51	45	2-5	bachelor	42	43	No	No
1357	51	42	46	52	44	53	49	2-5	bachelor	48	38	No	No
1358	56	50	52	46	50	50	46	2-5	associate	45	52	No	No
1359	51	46	48	45	42	55	43	2-5	bachelor	46	41	No	No
1360	51	37	39	39	42	44	40	0-1	none	31	34	No	Yes
1361	61	51	58	57	50	61	52	0-1	bachelor	58	72	Yes	Yes
1362	49	48	46	44	47	49	44	11+	associate	41	41	No	Yes
1363	56	49	51	49	47	49	54	11+	bachelor	58	66	Yes	Yes
1364	57	52	50	49	50	52	51	11+	masters	50	54	No	Yes
1365	57	43	52	51	47	56	42	11+	none	48	48	No	No
1366	53	47	46	43	55	54	53	0-1	bachelor	38	50	No	No
1367	54	46	45	52	51	53	52	2-5	bachelor	53	48	No	Yes
1368	52	45	45	41	51	49	46	2-5	bachelor	30	42	No	No
1369	53	47	52	47	49	48	45	0-1	bachelor	45	45	No	No
1370	48	45	45	41	44	49	44	0-1	bachelor	36	39	No	No
1371	58	45	52	54	52	54	49	2-5	bachelor	59	55	No	Yes
1372	55	44	49	51	46	49	47	2-5	bachelor	41	53	No	No
1373	52	38	47	44	41	44	39	0-1	none	30	25	No	No
1374	49	45	44	34	45	40	43	0-1	none	29	33	No	No
1375	51	47	52	47	50	50	52	0-1	doctorate	47	43	No	No
1376	59	49	52	52	50	56	45	0-1	bachelor	48	47	No	No
1377	50	44	42	40	48	53	43	2-5	associate	40	41	No	No
1378	51	38	40	40	45	52	43	2-5	bachelor	44	29	No	No
1379	54	48	47	50	54	58	50	2-5	bachelor	57	48	No	No
1380	52	48	48	47	51	63	47	2-5	none	60	45	No	Yes
1381	49	40	43	40	44	48	32	2-5	none	25	38	No	No
1382	57	48	50	51	46	57	46	0-1	associate	58	51	No	Yes
1383	54	41	45	50	50	56	48	2-5	bachelor	51	45	No	Yes
1384	52	49	49	45	52	49	44	0-1	none	39	41	No	No
1385	46	46	43	39	46	45	41	0-1	associate	32	39	Yes	No
1386	54	46	45	39	46	49	41	6-10	associate	44	39	No	No
1387	48	46	44	40	44	49	41	0-1	none	36	36	No	No
1388	51	47	48	44	48	54	49	2-5	bachelor	51	51	No	No
1389	48	39	40	42	44	47	41	0-1	none	44	29	No	No
1390	58	52	55	46	61	54	49	2-5	bachelor	50	55	Yes	No
1391	60	48	58	54	55	59	57	6-10	bachelor	78	60	Yes	No
1392	53	46	43	40	47	49	40	2-5	none	33	48	No	No
1393	53	43	46	47	49	50	43	2-5	none	42	36	No	No
1394	55	50	49	46	55	55	48	6-10	bachelor	60	51	No	Yes
1395	47	48	50	41	47	47	54	0-1	bachelor	33	43	No	No
1396	56	47	48	50	50	61	47	0-1	bachelor	45	42	No	Yes
1397	58	49	50	45	56	52	47	2-5	bachelor	48	48	No	Yes
1398	50	43	41	39	49	41	34	6-10	associate	26	37	Yes	No
1399	50	47	46	48	46	51	46	0-1	bachelor	39	39	No	No
1400	52	51	47	46	48	46	49	2-5	none	46	57	No	No
1401	51	48	48	42	48	49	44	0-1	bachelor	36	42	No	No
1402	52	43	48	46	54	49	52	6-10	none	49	45	No	No
1403	55	45	48	45	52	56	50	2-5	none	46	48	Yes	No
1404	59	53	54	44	54	55	52	2-5	bachelor	60	56	No	No
1405	51	50	45	45	51	57	48	2-5	bachelor	49	57	No	No
1406	53	50	49	46	55	48	46	2-5	bachelor	45	51	No	No
1407	53	45	51	45	52	47	50	0-1	associate	47	41	No	No
1408	53	54	46	46	50	52	50	2-5	bachelor	45	58	No	No
1409	54	51	49	50	54	54	53	0-1	bachelor	49	51	No	No
1410	51	43	46	36	42	49	34	2-5	none	42	37	No	No
1411	49	47	47	44	44	49	48	0-1	bachelor	47	42	No	No
1412	47	51	46	40	52	52	47	0-1	bachelor	40	46	No	No
1413	51	44	49	45	53	53	47	2-5	bachelor	45	45	No	No
1414	54	48	49	47	51	59	45	0-1	bachelor	48	45	Yes	No
1415	51	43	51	47	46	53	44	0-1	none	49	48	No	Yes
1416	54	44	47	44	48	49	44	2-5	bachelor	42	45	No	No
1417	54	50	47	48	48	56	47	6-10	masters	51	52	Yes	Yes
1418	51	44	52	44	49	48	47	2-5	bachelor	52	47	No	No
1419	57	47	53	48	55	49	46	6-10	bachelor	50	44	No	No
1420	52	44	42	43	44	51	42	0-1	none	46	37	No	No
1421	51	44	46	41	51	49	47	6-10	none	39	46	No	No
1422	49	42	49	47	49	44	47	2-5	bachelor	37	39	No	Yes
1423	46	43	38	41	40	45	42	0-1	none	34	34	Yes	No
1424	50	48	45	43	54	41	50	2-5	bachelor	45	38	No	No
1425	49	41	37	43	45	56	40	11+	none	41	31	No	No
1426	53	44	43	46	44	53	43	0-1	none	42	35	No	No
1427	53	46	51	48	48	61	47	2-5	associate	49	45	No	No
1428	54	48	43	44	44	57	42	0-1	associate	42	49	No	Yes
1429	53	44	51	44	47	45	46	2-5	associate	47	48	Yes	Yes
1430	53	47	50	49	52	55	50	6-10	bachelor	52	54	No	Yes
1431	49	44	43	45	48	53	42	2-5	none	41	30	No	No
1432	53	47	46	44	43	55	42	6-10	none	41	58	No	No
1433	51	49	54	41	50	49	45	0-1	bachelor	39	44	No	No
1434	52	41	49	49	43	51	48	0-1	none	42	45	No	Yes
1435	58	53	53	47	51	53	49	0-1	bachelor	51	55	No	Yes
1436	57	46	46	46	53	58	45	0-1	associate	58	50	No	Yes
1437	54	49	50	50	51	55	49	6-10	bachelor	60	50	No	Yes
1438	50	45	50	48	48	55	50	0-1	none	48	49	No	No
1439	52	44	44	43	45	59	44	11+	masters	53	44	No	No
1440	53	41	50	51	47	57	43	0-1	none	40	47	No	No
1441	46	43	43	40	44	46	47	0-1	associate	45	37	No	No
1442	51	46	46	45	46	51	46	2-5	bachelor	35	46	No	No
1443	51	49	45	43	51	46	51	2-5	associate	40	41	No	No
1444	54	47	50	45	48	52	44	0-1	bachelor	40	40	No	No
1445	55	45	44	40	51	49	46	2-5	none	45	48	No	Yes
1446	56	47	53	51	52	59	46	6-10	doctorate	53	48	No	No
1447	54	47	50	45	49	51	44	2-5	bachelor	38	36	No	No
1448	53	45	46	49	50	50	48	0-1	masters	55	56	No	Yes
1449	54	38	47	44	45	47	46	2-5	none	43	40	No	No
1450	51	51	47	44	48	51	46	0-1	bachelor	45	46	Yes	No
1451	53	52	49	40	49	43	41	0-1	none	29	34	No	No
1452	56	47	50	46	53	58	48	6-10	associate	45	54	No	No
1453	53	46	50	41	50	51	44	2-5	doctorate	39	46	No	No
1454	55	45	44	45	47	46	39	0-1	bachelor	40	34	No	No
1455	55	51	42	44	48	48	42	0-1	associate	34	41	No	No
1456	46	38	38	38	41	47	42	0-1	none	41	36	No	No
1457	51	45	50	45	44	53	49	2-5	bachelor	61	44	No	No
1458	54	46	46	44	49	44	45	0-1	associate	31	43	No	No
1459	52	51	46	48	51	53	49	6-10	bachelor	53	45	No	No
1460	54	49	53	44	51	49	41	0-1	none	45	44	No	No
1461	50	43	47	45	47	52	42	6-10	none	40	45	No	No
1462	51	48	47	48	51	52	47	0-1	bachelor	41	46	No	No
1463	55	52	51	48	52	46	45	0-1	bachelor	49	43	No	No
1464	55	44	46	46	50	52	46	0-1	bachelor	37	38	No	Yes
1465	52	47	47	46	47	47	47	0-1	associate	42	42	No	Yes
1466	54	39	43	43	46	52	42	0-1	none	35	44	No	No
1467	58	46	52	53	51	56	44	0-1	bachelor	54	46	No	No
1468	49	49	44	43	51	50	45	2-5	bachelor	48	39	No	No
1469	45	38	37	34	40	44	39	0-1	none	23	22	Yes	No
1470	49	43	47	43	51	55	46	6-10	bachelor	44	40	No	No
1471	56	49	48	48	54	52	53	6-10	bachelor	47	58	No	No
1472	56	53	53	47	48	55	48	2-5	associate	53	57	No	Yes
1473	52	51	43	47	47	51	45	0-1	bachelor	43	42	No	Yes
1474	58	52	52	51	54	53	59	2-5	bachelor	59	66	No	No
1475	49	51	46	44	47	52	44	0-1	none	35	41	No	No
1476	54	47	47	45	48	50	43	2-5	associate	39	50	No	No
1477	56	48	51	50	48	51	53	0-1	none	53	54	No	Yes
1478	53	48	48	48	50	52	47	0-1	bachelor	48	41	No	No
1479	55	46	50	45	47	49	41	2-5	none	46	47	No	No
1480	51	49	51	43	50	45	40	2-5	none	36	42	No	No
1481	54	51	52	51	53	50	61	2-5	bachelor	48	56	No	No
1482	58	48	54	47	53	50	47	0-1	bachelor	45	48	No	Yes
1483	55	47	49	48	48	53	40	6-10	associate	53	47	No	No
1484	56	54	55	46	49	48	52	0-1	bachelor	49	68	No	No
1485	52	50	56	50	50	51	47	0-1	bachelor	52	52	No	Yes
1486	48	49	45	45	48	51	46	0-1	bachelor	32	45	No	No
1487	55	46	53	51	51	53	50	0-1	none	54	49	No	No
1488	52	48	52	42	53	50	38	2-5	none	43	50	No	No
1489	56	51	47	42	51	48	50	2-5	associate	50	43	Yes	No
1490	54	57	52	48	54	57	50	2-5	none	50	55	Yes	Yes
1491	52	49	41	43	46	50	43	6-10	associate	48	33	No	No
1492	50	48	50	49	48	55	42	2-5	none	41	45	No	No
1493	41	38	40	36	42	45	34	0-1	none	32	32	No	No
1494	53	44	45	45	49	54	45	0-1	bachelor	45	46	No	No
1495	59	51	52	53	57	64	53	2-5	bachelor	64	64	No	Yes
1496	49	50	46	47	49	51	47	2-5	bachelor	45	49	No	Yes
1497	51	45	52	46	52	49	54	2-5	bachelor	44	46	Yes	Yes
1498	51	46	45	46	42	52	40	2-5	none	36	48	No	No
1499	52	43	47	44	46	53	47	0-1	bachelor	43	46	No	No
1500	50	52	48	46	52	54	47	0-1	masters	46	46	No	No
1501	58	51	51	50	56	52	53	0-1	bachelor	54	54	No	Yes
1502	55	47	46	43	51	52	42	2-5	none	29	31	No	No
1503	54	52	48	48	51	52	49	0-1	bachelor	51	59	No	No
1504	49	43	42	39	48	48	51	0-1	bachelor	38	38	No	No
1505	56	48	52	54	51	54	44	6-10	bachelor	49	49	No	No
1506	53	50	50	49	48	52	45	2-5	none	45	48	No	No
1507	47	37	43	40	42	45	45	0-1	bachelor	35	29	Yes	No
1508	52	46	44	46	52	52	51	0-1	associate	46	34	No	No
1509	53	52	49	49	52	56	52	11+	none	60	56	Yes	Yes
1510	51	49	45	40	50	43	45	0-1	associate	35	47	No	No
1511	51	46	46	46	47	54	43	2-5	none	43	45	Yes	No
1512	55	44	47	48	52	59	41	2-5	none	37	48	No	No
1513	51	43	43	39	48	44	41	2-5	none	27	40	No	No
1514	56	47	49	40	51	54	39	0-1	none	43	44	No	No
1515	50	45	49	46	57	54	50	6-10	associate	48	34	No	No
1516	53	46	47	44	47	53	50	0-1	bachelor	51	52	Yes	Yes
1517	51	44	48	44	42	57	45	11+	bachelor	52	57	No	Yes
1518	50	47	42	40	49	52	47	2-5	associate	54	46	No	No
1519	56	49	50	43	51	50	51	2-5	bachelor	39	53	No	No
1520	45	44	45	39	42	49	42	2-5	associate	38	34	No	No
1521	51	46	44	41	48	47	40	0-1	none	38	36	No	No
1522	52	45	49	48	51	51	48	2-5	bachelor	47	41	No	Yes
1523	58	46	52	48	52	55	46	2-5	none	57	50	No	No
1524	56	48	49	48	52	53	50	0-1	bachelor	50	56	No	No
1525	55	45	51	47	46	49	43	0-1	none	53	37	No	No
1526	50	47	50	43	46	52	39	2-5	none	35	38	No	No
1527	50	43	52	47	49	56	41	11+	none	40	53	No	No
1528	52	42	49	47	44	49	44	2-5	bachelor	44	42	No	No
1529	56	50	44	46	52	56	45	0-1	masters	42	51	No	No
1530	56	50	52	51	50	47	44	0-1	bachelor	48	44	No	Yes
1531	52	43	47	48	48	56	44	2-5	associate	34	35	No	No
1532	51	51	52	46	55	47	54	0-1	bachelor	46	47	No	Yes
1533	58	42	44	45	49	55	42	11+	none	46	48	Yes	No
1534	50	45	46	42	49	48	46	2-5	bachelor	29	42	No	No
1535	58	49	49	48	53	53	49	2-5	bachelor	49	55	No	No
1536	50	49	46	44	45	49	43	0-1	none	44	41	No	No
1537	54	43	48	43	44	55	46	2-5	associate	38	41	No	No
1538	56	44	47	49	47	52	45	6-10	bachelor	40	44	No	No
1539	52	44	44	42	48	50	44	2-5	associate	40	41	No	No
1540	53	44	51	42	48	44	41	2-5	none	34	42	No	No
1541	53	45	47	46	47	57	43	0-1	associate	40	37	No	No
1542	57	44	48	42	53	55	47	6-10	associate	48	41	Yes	Yes
1543	53	52	52	46	53	51	50	0-1	bachelor	44	46	No	No
1544	53	46	49	39	49	46	43	0-1	none	36	40	No	No
1545	53	50	50	48	48	52	48	0-1	none	49	50	No	No
1546	50	42	42	42	46	46	44	0-1	associate	36	33	No	No
1547	54	47	45	46	52	48	50	0-1	associate	43	47	No	No
1548	58	54	49	45	54	53	45	2-5	bachelor	42	54	No	No
1549	52	42	43	45	46	49	43	6-10	bachelor	50	46	No	No
1550	55	54	48	47	57	48	53	0-1	bachelor	57	49	No	Yes
1551	44	47	48	40	43	48	49	0-1	bachelor	39	41	No	No
1552	61	55	55	49	57	55	47	6-10	associate	68	64	No	Yes
1553	58	51	52	46	50	51	44	0-1	none	53	48	No	Yes
1554	55	47	53	47	57	53	52	6-10	associate	49	54	No	No
1555	49	44	45	43	49	51	45	6-10	associate	37	45	No	No
1556	52	45	47	42	47	45	50	6-10	none	39	43	No	No
1557	51	48	49	39	45	50	54	6-10	bachelor	51	44	No	No
1558	50	44	43	45	49	50	40	2-5	associate	40	34	No	No
1559	49	44	44	44	41	43	38	0-1	none	31	30	No	No
1560	62	53	52	45	54	54	51	6-10	bachelor	46	61	No	No
1561	49	48	45	40	47	45	44	0-1	bachelor	37	40	No	No
1562	48	46	44	39	43	44	38	0-1	none	27	28	No	No
1563	56	49	48	47	49	55	41	6-10	bachelor	43	37	No	No
1564	52	46	45	43	43	50	45	11+	bachelor	40	43	No	No
1565	55	49	58	49	54	48	48	0-1	bachelor	45	48	Yes	No
1566	50	42	47	45	46	51	46	2-5	associate	42	38	No	No
1567	55	47	47	42	50	52	45	0-1	bachelor	47	53	No	No
1568	49	44	48	48	46	51	45	6-10	bachelor	40	53	No	No
1569	51	48	40	43	43	43	39	2-5	none	34	42	No	No
1570	55	52	51	49	53	50	45	2-5	bachelor	50	47	No	Yes
1571	54	48	46	45	46	50	42	0-1	associate	45	35	No	No
1572	52	44	50	51	49	52	45	2-5	associate	46	41	No	No
1573	59	54	55	49	54	55	51	6-10	doctorate	46	56	No	No
1574	56	46	51	45	49	51	42	2-5	none	43	43	No	Yes
1575	53	47	43	38	48	50	42	6-10	associate	50	35	No	No
1576	53	50	49	48	48	55	53	6-10	associate	54	52	No	No
1577	52	44	50	45	47	49	43	6-10	associate	48	48	No	No
1578	59	50	54	56	57	60	48	11+	bachelor	62	62	No	No
1579	48	43	47	42	49	46	41	0-1	none	37	38	No	No
1580	52	43	42	36	44	50	43	11+	none	28	45	No	No
1581	53	48	50	53	50	55	52	0-1	bachelor	57	51	No	No
1582	54	47	50	45	53	49	47	2-5	bachelor	42	49	No	No
1583	56	52	48	49	52	48	49	0-1	bachelor	51	57	No	Yes
1584	53	44	47	41	53	45	44	2-5	bachelor	41	38	No	No
1585	52	46	43	45	45	51	49	0-1	bachelor	44	45	No	Yes
1586	50	45	45	48	49	53	47	2-5	bachelor	51	46	No	Yes
1587	53	46	49	48	52	59	48	2-5	associate	51	42	No	No
1588	54	47	50	44	50	50	50	0-1	none	51	53	No	Yes
1589	63	49	55	51	54	55	46	6-10	masters	63	62	No	Yes
1590	53	52	46	43	47	49	51	0-1	associate	39	45	No	No
1591	55	51	52	45	51	47	49	0-1	bachelor	45	59	No	No
1592	51	46	46	40	47	54	48	2-5	associate	42	44	No	Yes
1593	60	43	46	44	54	56	47	2-5	bachelor	44	40	No	No
1594	52	44	45	43	47	53	39	0-1	none	38	38	No	No
1595	52	45	53	47	52	59	44	0-1	bachelor	47	49	No	No
1596	54	43	44	49	49	52	50	2-5	bachelor	41	51	No	No
1597	51	49	41	41	47	42	42	0-1	none	31	30	No	No
1598	47	43	42	34	42	41	42	0-1	bachelor	38	33	No	No
1599	53	47	47	44	46	44	47	0-1	none	42	41	No	No
1600	52	50	49	45	52	55	52	6-10	bachelor	60	57	No	No
1601	52	40	41	45	43	47	42	0-1	none	39	40	No	Yes
1602	49	47	47	43	49	52	45	0-1	bachelor	42	48	No	No
1603	52	43	46	48	47	51	54	2-5	bachelor	45	53	No	No
1604	50	49	46	44	49	52	47	2-5	none	44	36	No	No
1605	51	46	44	43	45	52	46	2-5	bachelor	33	44	No	No
1606	49	44	50	43	47	57	50	6-10	bachelor	46	50	No	No
1607	61	42	47	49	51	58	54	6-10	bachelor	63	55	No	Yes
1608	54	44	49	43	51	51	47	11+	none	42	42	No	No
1609	54	50	43	45	49	54	43	2-5	none	51	53	Yes	Yes
1610	54	49	47	40	50	51	43	6-10	associate	40	39	No	No
1611	54	56	53	47	52	48	52	2-5	bachelor	46	52	No	No
1612	45	37	40	41	44	42	51	0-1	bachelor	40	41	No	No
1613	49	44	46	43	45	48	42	0-1	none	30	35	No	No
1614	56	44	49	49	52	58	49	6-10	bachelor	51	40	No	No
1615	54	47	50	45	48	54	49	6-10	bachelor	40	53	No	No
1616	49	51	46	40	43	43	38	0-1	none	30	41	No	No
1617	46	36	36	38	41	47	42	0-1	none	33	29	No	No
1618	54	54	52	49	46	50	46	0-1	bachelor	57	51	Yes	No
1619	50	45	43	45	46	53	47	2-5	bachelor	42	46	No	Yes
1620	54	43	45	45	48	54	49	11+	none	41	53	No	No
1621	55	46	51	49	50	60	40	2-5	none	55	45	No	No
1622	51	47	39	43	47	53	39	6-10	bachelor	51	35	No	No
1623	52	52	48	44	48	49	52	0-1	associate	49	48	No	No
1624	43	39	38	36	41	45	44	0-1	none	24	31	No	No
1625	53	49	54	47	49	52	47	0-1	bachelor	41	43	No	No
1626	53	44	47	43	49	50	45	0-1	bachelor	41	47	No	Yes
1627	42	46	40	38	42	45	35	0-1	none	45	31	No	No
1628	51	44	46	47	49	52	48	0-1	associate	47	46	No	No
1629	51	47	49	49	47	50	47	2-5	associate	45	43	No	No
1630	56	45	53	48	55	54	46	0-1	associate	53	40	No	No
1631	55	46	51	50	55	59	55	2-5	bachelor	60	55	Yes	No
1632	55	47	51	50	49	52	58	11+	bachelor	62	56	No	No
1633	52	52	46	43	46	56	47	2-5	associate	43	48	No	No
1634	55	46	51	51	52	53	50	0-1	bachelor	55	47	No	Yes
1635	58	47	49	45	49	55	45	2-5	associate	47	50	No	Yes
1636	51	45	45	43	50	52	45	6-10	doctorate	47	46	No	No
1637	61	44	49	49	48	56	47	2-5	associate	51	57	Yes	Yes
1638	54	44	46	47	48	52	48	2-5	bachelor	40	46	No	No
1639	53	47	41	46	51	51	42	0-1	none	40	37	No	No
1640	57	48	48	43	52	50	47	2-5	bachelor	43	48	No	Yes
1641	59	47	49	47	46	47	49	2-5	none	43	42	No	Yes
1642	53	44	49	43	42	51	42	2-5	bachelor	36	41	No	No
1643	52	44	42	45	45	56	42	0-1	associate	43	44	No	No
1644	53	51	50	44	49	52	50	2-5	doctorate	47	48	No	No
1645	53	51	51	44	50	46	48	0-1	associate	39	41	No	No
1646	53	47	46	47	48	52	45	6-10	bachelor	44	41	No	No
1647	50	44	52	47	45	51	42	6-10	none	44	48	No	Yes
1648	57	46	47	44	50	54	44	0-1	associate	52	51	Yes	Yes
1649	53	53	51	49	51	50	50	2-5	none	56	43	No	No
1650	53	49	47	48	47	53	45	2-5	associate	55	54	No	Yes
1651	54	48	50	46	51	51	47	11+	none	50	45	No	No
1652	54	44	47	46	47	53	42	2-5	associate	35	48	No	No
1653	56	41	45	43	50	55	43	6-10	bachelor	46	48	No	No
1654	47	41	45	45	44	50	46	0-1	none	37	31	No	No
1655	47	42	42	40	44	47	42	0-1	none	41	36	No	No
1656	51	43	43	46	45	50	45	0-1	bachelor	41	37	No	No
1657	47	49	44	39	44	46	45	0-1	bachelor	37	35	Yes	No
1658	54	43	48	43	48	43	39	0-1	none	34	28	No	No
1659	48	41	46	44	46	53	44	2-5	associate	40	43	No	No
1660	54	50	50	43	52	48	49	0-1	none	52	46	No	Yes
1661	49	48	42	41	44	50	42	0-1	associate	40	41	No	No
1662	50	46	45	34	51	50	41	0-1	none	31	33	No	No
1663	55	51	46	41	49	45	45	2-5	associate	40	40	Yes	No
1664	54	49	45	42	50	49	46	2-5	associate	37	51	No	No
1665	47	43	44	47	45	51	42	0-1	none	37	42	No	No
1666	52	45	49	49	51	53	49	6-10	bachelor	53	53	Yes	Yes
1667	53	47	50	47	48	45	45	2-5	bachelor	42	46	No	No
1668	51	45	49	45	45	49	44	0-1	bachelor	46	41	No	No
1669	59	51	48	45	53	59	45	0-1	none	50	61	No	No
1670	56	44	48	49	48	60	39	2-5	none	45	45	No	No
1671	52	44	46	47	43	56	48	2-5	none	40	51	No	No
1672	52	42	45	40	48	39	50	6-10	associate	44	34	No	No
1673	45	44	44	41	44	49	37	2-5	associate	39	23	No	Yes
1674	50	47	44	46	48	53	45	0-1	associate	44	42	No	No
1675	55	52	51	46	55	58	49	2-5	bachelor	42	62	No	No
1676	52	50	51	45	49	52	46	6-10	associate	62	50	Yes	No
1677	51	41	39	42	48	50	45	2-5	none	33	36	No	No
1678	58	44	48	49	51	53	41	2-5	none	40	45	No	No
1679	55	55	49	45	53	52	49	0-1	bachelor	49	56	No	No
1680	50	51	45	44	49	48	48	0-1	associate	49	33	No	No
1681	46	42	44	40	42	44	36	0-1	none	32	33	No	Yes
1682	55	47	47	41	48	52	39	2-5	none	38	43	No	No
1683	56	47	51	51	48	57	44	2-5	associate	50	41	No	No
1684	51	44	43	40	55	52	53	2-5	bachelor	36	49	No	No
1685	57	52	49	51	47	57	48	6-10	bachelor	56	51	Yes	Yes
1686	53	45	49	46	50	51	48	0-1	bachelor	37	49	No	No
1687	52	47	45	48	48	53	49	11+	doctorate	56	38	No	No
1688	54	48	52	50	51	57	51	0-1	bachelor	48	51	No	No
1689	49	46	46	44	44	51	42	0-1	associate	28	45	No	No
1690	50	54	48	46	48	50	51	0-1	bachelor	44	52	No	No
1691	51	42	50	50	48	51	49	0-1	associate	43	48	No	Yes
1692	51	46	46	44	47	48	43	2-5	none	46	34	No	No
1693	53	47	50	49	54	51	50	0-1	bachelor	57	46	No	No
1694	56	44	45	41	48	50	35	2-5	none	32	45	No	No
1695	52	43	44	44	49	50	46	6-10	bachelor	51	43	No	No
1696	49	37	42	44	45	54	39	2-5	none	24	28	No	No
1697	57	47	49	46	54	48	48	0-1	associate	36	58	No	No
1698	54	44	40	47	45	46	45	0-1	associate	45	43	Yes	Yes
1699	52	44	49	45	48	50	48	2-5	bachelor	35	35	No	No
1700	57	47	53	48	53	52	50	2-5	bachelor	50	50	No	No
1701	52	43	47	47	53	51	43	0-1	none	36	39	Yes	No
1702	53	39	42	42	44	46	40	2-5	none	37	35	Yes	No
1703	51	42	44	49	50	53	45	6-10	masters	55	44	No	No
1704	56	44	45	42	49	50	47	11+	masters	36	52	No	No
1705	55	46	47	46	46	52	38	2-5	none	35	42	No	No
1706	52	45	50	48	50	57	49	0-1	bachelor	52	43	No	No
1707	54	48	50	48	51	56	51	2-5	associate	56	47	No	Yes
1708	58	54	54	48	56	53	55	0-1	bachelor	57	57	No	Yes
1709	57	43	50	53	47	52	43	6-10	none	51	42	No	No
1710	49	43	37	44	44	54	44	0-1	associate	50	42	No	No
1711	57	49	49	50	52	54	49	2-5	none	56	42	No	No
1712	46	52	44	40	43	45	46	0-1	bachelor	40	42	No	No
1713	56	53	51	49	57	53	53	2-5	bachelor	59	52	No	No
1714	53	46	47	43	53	52	49	2-5	doctorate	49	35	No	No
1715	52	47	49	45	49	51	42	6-10	none	41	51	No	No
1716	53	47	47	45	44	45	43	0-1	none	44	48	No	No
1717	51	41	43	41	48	51	41	2-5	none	44	46	No	Yes
1718	47	44	45	41	43	44	41	0-1	bachelor	38	36	No	No
1719	59	52	52	44	52	46	51	0-1	masters	48	51	No	No
1720	50	48	44	50	49	56	46	0-1	masters	42	46	No	Yes
1721	51	45	46	43	47	51	39	0-1	associate	31	40	No	No
1722	63	50	60	53	56	60	49	0-1	bachelor	62	63	No	Yes
1723	56	53	54	49	53	50	52	0-1	none	59	55	Yes	Yes
1724	51	49	46	46	51	56	56	6-10	associate	47	52	No	No
1725	57	51	48	49	54	58	53	6-10	bachelor	58	49	No	Yes
1726	51	47	45	38	46	48	43	0-1	none	40	44	No	No
1727	53	39	44	48	39	51	40	2-5	associate	39	36	No	No
1728	52	42	48	43	45	44	45	0-1	bachelor	43	40	No	No
1729	49	48	48	43	49	45	46	0-1	associate	40	45	No	No
1730	50	42	41	46	43	48	42	0-1	none	43	37	No	No
1731	53	47	54	49	49	52	40	0-1	none	54	37	No	No
1732	58	46	49	45	47	58	44	6-10	bachelor	50	49	No	No
1733	53	48	47	44	52	50	50	0-1	bachelor	36	42	No	No
1734	57	49	50	47	56	52	49	0-1	none	41	42	No	No
1735	47	41	40	41	42	53	42	0-1	none	43	35	No	No
1736	50	43	47	41	45	44	36	0-1	none	33	27	No	No
1737	49	46	45	41	46	48	45	2-5	bachelor	35	42	No	No
1738	57	47	53	49	50	47	45	0-1	associate	44	44	Yes	No
1739	50	44	45	43	53	55	45	6-10	bachelor	49	54	No	No
1740	53	45	47	47	48	51	47	11+	bachelor	49	45	No	No
1741	48	39	44	45	42	44	39	0-1	associate	26	39	No	No
1742	50	50	38	36	44	49	39	2-5	none	28	34	No	No
1743	61	56	60	51	51	56	55	2-5	none	64	75	Yes	No
1744	56	49	48	44	49	48	45	0-1	bachelor	44	50	Yes	Yes
1745	49	43	45	44	48	46	46	2-5	none	36	41	No	No
1746	49	49	44	42	47	42	46	0-1	bachelor	37	37	No	No
1747	53	46	45	47	45	53	47	0-1	bachelor	48	43	Yes	Yes
1748	52	47	43	45	46	46	46	0-1	bachelor	37	39	No	No
1749	57	46	47	45	53	53	50	2-5	bachelor	47	49	No	No
1750	53	47	47	45	44	52	44	6-10	bachelor	43	41	No	No
1751	47	40	42	40	44	50	46	2-5	bachelor	44	29	No	No
1752	49	44	46	47	43	48	47	0-1	bachelor	40	41	No	No
1753	52	42	45	42	50	55	44	6-10	bachelor	45	42	No	No
1754	55	48	44	45	42	51	43	0-1	none	49	38	No	No
1755	48	41	42	40	44	51	47	2-5	none	41	35	No	No
1756	49	45	42	42	44	52	38	0-1	associate	49	38	No	No
1757	52	44	46	50	48	49	45	6-10	bachelor	53	50	No	Yes
1758	48	52	48	39	52	46	49	0-1	associate	52	41	No	No
1759	49	41	44	38	50	46	44	0-1	bachelor	29	41	No	No
1760	52	46	50	45	49	53	50	2-5	none	54	35	No	No
1761	44	44	38	35	45	51	35	2-5	none	35	43	No	No
1762	49	42	43	41	44	42	38	0-1	none	30	41	No	No
1763	53	50	58	50	50	53	53	6-10	bachelor	56	57	Yes	Yes
1764	53	47	54	45	48	53	53	11+	bachelor	41	50	No	No
1765	49	41	42	47	46	50	45	6-10	bachelor	41	53	No	No
1766	57	43	51	48	51	45	52	0-1	associate	51	48	No	Yes
1767	57	55	57	48	53	52	51	2-5	bachelor	60	56	Yes	Yes
1768	52	43	43	45	47	56	50	6-10	associate	55	53	Yes	No
1769	48	43	42	41	41	43	42	0-1	none	37	32	No	No
1770	57	54	40	44	55	56	48	6-10	bachelor	53	36	No	No
